remark,"CSV-Import-Export"
remark,"Date = Thu Jul 09 14:08:27 2015"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = SUTD_ITrust"
remark,"Company = SUTD_ITrust"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,P6:I,"","AB:1756_ENET_4SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,P6:O,"","AB:1756_ENET_4SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,P2:I,"","AB:1756_ENET_4SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,P2:O,"","AB:1756_ENET_4SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,RIO3:0:C,"","AB:1794_IB32:C:0","","(ExternalAccess := Read/Write)"
TAG,,RIO3:0:I,"","AB:1794_IB32:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO3:1:C,"","AB:1794_DO16:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,RIO3:1:O,"","","RIO3:O.Data[1]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,RIO3:2:C,"","AB:1794_IE12:C:0","","(ExternalAccess := Read/Write)"
TAG,,RIO3:2:I,"","AB:1794_IE12:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO3:2:O,"","AB:1794_IE12:O:0","","(ExternalAccess := Read/Write)"
TAG,,RIO3:I,"","AB:1794_AEN_8SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO3:O,"","AB:1794_AEN_8SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,P4:I,"","AB:1756_ENET_4SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,P4:O,"","AB:1756_ENET_4SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO3:1:C,"","AB:1734_IE4:C:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO3:1:I,"","AB:1734_IE4:I:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO3:I,"","PS:1734_2SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO3:O,"","PS:1734_2SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,AI_DPIT_301_DPRESS,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_DPIT_301_DPRESS_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_FIT_301_FLOW,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_FIT_301_FLOW_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_LIT_301_LEVEL,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_LIT_301_LEVEL_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_03,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_03_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_04,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_04_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_05,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_05_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_06,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_06_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_07,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_07_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_08,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_08_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_09,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_09_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_10,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_10_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_11,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AI_RIO3_SPARE_11_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
