remark,"CSV-Import-Export"
remark,"Date = Thu Jul 09 14:11:17 2015"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = SUTD_ITrust"
remark,"Company = SUTD_ITrust"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,WRIO6:1:C,"","AB:1734_IE2:C:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO6:1:I,"","AB:1734_IE2:I:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO6:I,"","PS:1734_2SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,WRIO6:O,"","PS:1734_2SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,P1:I,"","AB:1756_ENET_4SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,P1:O,"","AB:1756_ENET_4SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,RIO6:0:C,"","AB:1794_IB32:C:0","","(ExternalAccess := Read/Write)"
TAG,,RIO6:0:I,"","AB:1794_IB32:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO6:1:C,"","AB:1794_DO16:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,RIO6:1:O,"","","RIO6:O.Data[1]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,RIO6:2:C,"","AB:1794_IE12:C:0","","(ExternalAccess := Read/Write)"
TAG,,RIO6:2:I,"","AB:1794_IE12:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO6:2:O,"","AB:1794_IE12:O:0","","(ExternalAccess := Read/Write)"
TAG,,RIO6:I,"","AB:1794_AEN_8SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,RIO6:O,"","AB:1794_AEN_8SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,P2:I,"","AB:1756_ENET_4SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,P2:O,"","AB:1756_ENET_4SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,AIT401_FB,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,AIT401_FB_01,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,AIT402_FB,"","AIN_FBD","","(Constant := false, ExternalAccess := Read/Write)"
